Time since last epoch, KB allocated
1626187410683, 500
1626187413684, 1000
1626187416686, 2000
1626187428688, 500
1626187431688, 1000
1626187434688, 2000
1626187446689, 500
1626187449691, 1000
1626187452692, 2000
1626187464693, 500
1626187467693, 1000
1626187470694, 2000
1626187482695, 500
1626187485696, 1000
1626187488696, 2000
1626187500697, 500
1626187503698, 1000
1626187506698, 2000
1626187518699, 500
1626187521700, 1000
1626187524700, 2000
1626187536701, 500
1626187539701, 1000
1626187542701, 2000
1626187554702, 500
1626187557703, 1000
1626187560703, 2000
1626187572704, 500
1626187575704, 1000
1626187578704, 2000
